"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"31.03.2023","75","5","0"
"30.03.2023","116","29","1"
"29.03.2023","124","24","0"
"28.03.2023","179","35","2"
"27.03.2023","247","77","1"
"26.03.2023","8","6","0"
"25.03.2023","20","9","0"
"24.03.2023","132","33","2"
"23.03.2023","192","42","2"
"22.03.2023","172","35","1"
"21.03.2023","209","51","4"
"20.03.2023","240","51","1"
"19.03.2023","19","13","1"
"18.03.2023","34","10","0"
"17.03.2023","137","28","0"
"16.03.2023","220","54","3"
"15.03.2023","241","57","1"
"14.03.2023","272","70","4"
"13.03.2023","264","70","2"
"12.03.2023","9","7","0"
"11.03.2023","21","9","0"
"10.03.2023","141","31","2"
"09.03.2023","164","36","4"
"08.03.2023","173","29","1"
"07.03.2023","208","44","1"
"06.03.2023","194","55","4"
"05.03.2023","15","13","1"
"04.03.2023","9","3","0"
"03.03.2023","127","29","2"
"02.03.2023","151","28","1"
"01.03.2023","313","29","0"
"28.02.2023","438","50","0"
"27.02.2023","456","60","2"
"26.02.2023","14","5","0"
"25.02.2023","23","3","0"
"24.02.2023","264","45","1"
"23.02.2023","305","34","1"
"22.02.2023","378","32","1"
"21.02.2023","443","42","2"
"20.02.2023","443","45","3"
"19.02.2023","41","12","2"
"18.02.2023","24","7","0"
"17.02.2023","254","29","0"
"16.02.2023","271","39","2"
"15.02.2023","336","22","4"
"14.02.2023","478","46","3"
"13.02.2023","481","67","1"
"12.02.2023","23","5","1"
"11.02.2023","26","5","0"
"10.02.2023","238","18","0"
"09.02.2023","188","19","0"
"08.02.2023","304","34","0"
"07.02.2023","360","16","1"
"06.02.2023","362","46","2"
"05.02.2023","16","4","0"
"04.02.2023","38","3","0"
"03.02.2023","215","17","0"
"02.02.2023","263","21","0"
"01.02.2023","305","29","1"
"31.01.2023","379","12","0"
"30.01.2023","361","35","3"
"29.01.2023","27","3","0"
"28.01.2023","32","5","0"
"27.01.2023","194","14","0"
"26.01.2023","242","18","0"
"25.01.2023","289","24","1"
"24.01.2023","352","27","2"
"23.01.2023","349","34","1"
"22.01.2023","12","6","0"
"21.01.2023","22","3","0"
"20.01.2023","192","20","0"
"19.01.2023","284","27","1"
"18.01.2023","270","43","1"
"17.01.2023","297","21","0"
"16.01.2023","432","55","3"
"15.01.2023","19","7","0"
"14.01.2023","37","5","1"
"13.01.2023","222","27","5"
"12.01.2023","283","37","1"
"11.01.2023","468","37","0"
"10.01.2023","643","53","1"
"09.01.2023","781","96","7"
"08.01.2023","45","10","0"
"07.01.2023","48","15","1"
"06.01.2023","481","43","2"
"05.01.2023","596","63","3"
"04.01.2023","778","68","5"
"03.01.2023","955","71","4"
"02.01.2023","1.316","139","9"
"01.01.2023","50","5","0"
"31.12.2022","41","15","0"
"30.12.2022","867","92","8"
"29.12.2022","1.203","93","6"
